Code,Area,Date,Municipality,Use,Stratum,Consumption
C1UPOLR2,U,2012-01-31,POLICARPA,Residential,2,1.009
8UBARE0,U,2015-07-31,BARBACOAS,Special,0,1.412
8UROBC0,U,2016-05-31,ROBERTO PAYAN,Commercial,0,2.361
C0RPOLR1,R,2014-01-31,POLICARPA,Residential,1,2.502
C4RLEIC0,R,2014-08-31,LEIVA,Commercial,0,3.419
C0RCUMR1,R,2014-12-31,CUMBITARA,Residential,1,4.854
8UBARE0,U,2014-12-31,BARBACOAS,Special,0,5.233
C1UPOLR2,U,2011-12-31,POLICARPA,Residential,2,7.353
8UBARE0,U,2013-10-31,BARBACOAS,Special,0,9.074
8UBARE0,U,2014-06-30,BARBACOAS,Special,0,9.511
C0RCUMR1,R,2014-11-30,CUMBITARA,Residential,1,10.15
C0RCUMR1,R,2014-10-31,CUMBITARA,Residential,1,10.478
C3RELC0,R,2015-09-30,EL ROSARIO,Commercial,0,11.705
8UBARE0,U,2013-03-31,BARBACOAS,Special,0,13.817
C1UPOLR1,U,2015-08-31,POLICARPA,Residential,1,14.425
C2RCUMO0,R,2012-04-30,CUMBITARA,Official,0,14.609
8UBARE0,U,2013-02-28,BARBACOAS,Special,0,16.899
8UBARE0,U,2013-09-30,BARBACOAS,Special,0,17.254
C1UPOLR2,U,2011-11-30,POLICARPA,Residential,2,17.312
8UROBO0,U,2016-04-30,ROBERTO PAYAN,Official,0,18.043
8UROBO0,U,2016-03-31,ROBERTO PAYAN,Official,0,18.195
C4RLEIC0,R,2015-08-31,LEIVA,Commercial,0,18.438
8UBARE0,U,2016-03-31,BARBACOAS,Special,0,19.255
C0RPOLR1,R,2012-12-31,POLICARPA,Residential,1,19.468
C3UELR1,U,2015-06-30,EL ROSARIO,Residential,1,20.764
C0RCUMR1,R,2015-04-30,CUMBITARA,Residential,1,20.789
C0RPOLR1,R,2014-03-31,POLICARPA,Residential,1,21.802
C0UCUMR3,U,2014-12-31,CUMBITARA,Residential,3,22.114
C2UCUMR1,U,2016-04-30,CUMBITARA,Residential,1,22.849
C0RPOLR1,R,2012-11-30,POLICARPA,Residential,1,22.895
C0RPOLR1,R,2014-04-30,POLICARPA,Residential,1,23.109
8RBARE0,R,2016-05-31,BARBACOAS,Special,0,24.37
8UBARE0,U,2013-08-31,BARBACOAS,Special,0,24.396
C2UCUMR1,U,2016-05-31,CUMBITARA,Residential,1,24.515
C4RLEIC0,R,2014-07-31,LEIVA,Commercial,0,24.643
C2UCUMR1,U,2016-03-31,CUMBITARA,Residential,1,25.008
C2UCUMR1,U,2016-02-29,CUMBITARA,Residential,1,25.23
8UBARE0,U,2013-01-31,BARBACOAS,Special,0,25.566
C0RPOLR1,R,2012-09-30,POLICARPA,Residential,1,26.743
8UBARE0,U,2013-07-31,BARBACOAS,Special,0,26.799
C1UPOLR1,U,2015-02-28,POLICARPA,Residential,1,26.883
C3UELR1,U,2015-08-31,EL ROSARIO,Residential,1,27.316
8UBARE0,U,2011-05-31,BARBACOAS,Special,0,27.928
C2UCUMR2,U,2011-11-30,CUMBITARA,Residential,2,28.863
C2UCUMR1,U,2013-04-30,CUMBITARA,Residential,1,30.161
C2UCUMR1,U,2016-01-31,CUMBITARA,Residential,1,30.369
C3UELR1,U,2015-05-31,EL ROSARIO,Residential,1,30.514
C0RCUMR1,R,2015-02-28,CUMBITARA,Residential,1,30.567
C0RPOLR1,R,2015-01-31,POLICARPA,Residential,1,30.591
C2UCUMR2,U,2011-12-31,CUMBITARA,Residential,2,30.775
C2UCUMR2,U,2012-01-31,CUMBITARA,Residential,2,31.148
C2UCUMR1,U,2013-03-31,CUMBITARA,Residential,1,31.267
C1UPOLR2,U,2011-04-30,POLICARPA,Residential,2,32.194
C0RPOLR1,R,2012-10-31,POLICARPA,Residential,1,32.519
C1UPOLR2,U,2011-07-31,POLICARPA,Residential,2,32.698
C2UCUMR1,U,2013-05-31,CUMBITARA,Residential,1,32.736
C0RPOLR1,R,2014-10-31,POLICARPA,Residential,1,34.077
C0RPOLR1,R,2013-01-31,POLICARPA,Residential,1,34.765
C1UPOLR1,U,2013-01-31,POLICARPA,Residential,1,34.765
C1UPOLR2,U,2011-06-30,POLICARPA,Residential,2,35.02
C1UPOLR1,U,2015-07-31,POLICARPA,Residential,1,36.01
C0UCUMR3,U,2015-11-30,CUMBITARA,Residential,3,36.132
C0RPOLR1,R,2014-12-31,POLICARPA,Residential,1,36.346
C0RCUMR1,R,2012-12-31,CUMBITARA,Residential,1,36.521
C0RCUMR1,R,2015-03-31,CUMBITARA,Residential,1,36.722
C0RPOLR1,R,2014-05-31,POLICARPA,Residential,1,36.743
C0UCUMR3,U,2015-04-30,CUMBITARA,Residential,3,37.072
